number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_eps_decay_steps,params_eps_end,params_eps_start,params_gamma,params_hidden_dim,params_learning_starts,params_lr,params_n_layers,params_target_update_freq,params_train_freq,state
0,0.44333333333333336,2026-02-15 13:39:42.190726,2026-02-15 14:14:32.343913,0 days 00:34:50.153187,256,500000,50000,0.03698712885426209,0.9832442640800422,0.965459808211767,512,6000,2.9380279387035334e-05,3,10000,2,COMPLETE
1,0.3066666666666667,2026-02-15 14:14:32.430557,2026-02-15 16:01:59.406197,0 days 01:47:26.975640,512,500000,75000,0.08467178784931689,0.996563203307456,0.9779982053444763,1024,2000,3.972110727381908e-05,4,5000,4,COMPLETE
2,0.39000000000000007,2026-02-15 16:01:59.647537,2026-02-15 16:20:52.162980,0 days 00:18:52.515443,128,500000,50000,0.035678628993531615,0.9088492502051919,0.9664699059433934,512,10000,0.00043664735929796326,3,5000,4,COMPLETE
3,0.37333333333333335,2026-02-15 16:20:52.243143,2026-02-15 17:26:21.405151,0 days 01:05:29.162008,256,200000,150000,0.029269524762010377,0.9358465728544273,0.966955048853696,512,4000,0.0020736445177905022,4,2000,2,COMPLETE
4,0.34,2026-02-15 17:26:21.484796,2026-02-15 18:44:00.690284,0 days 01:17:39.205488,128,100000,75000,0.07091283290110244,0.9031429185686735,0.9796447019149324,256,6000,0.0019158219548093154,4,5000,1,COMPLETE
5,0.2966666666666667,2026-02-15 18:44:00.783155,2026-02-16 03:25:37.156121,0 days 08:41:36.372966,512,500000,75000,0.02880415396221414,0.9318003474971864,0.9905011206565701,1024,2000,0.000794714742465374,4,10000,1,COMPLETE
6,0.34,2026-02-16 03:25:37.375696,2026-02-16 03:57:07.664217,0 days 00:31:30.288521,256,200000,125000,0.022950955788362624,0.9284840494377468,0.9846056635613312,1024,10000,0.0003600575029200903,2,2000,4,PRUNED
7,0.4033333333333333,2026-02-16 03:57:07.863112,2026-02-16 04:35:42.689609,0 days 00:38:34.826497,512,500000,50000,0.03492148083198834,0.9320780064971737,0.985487572201415,256,6000,5.163124910488014e-05,4,5000,2,COMPLETE
8,0.32,2026-02-16 04:35:42.781521,2026-02-16 04:39:47.578591,0 days 00:04:04.797070,128,200000,50000,0.03934818327203614,0.9529650578356007,0.9639715732434205,1024,4000,0.0001054870271491805,2,5000,4,PRUNED
9,0.32,2026-02-16 04:39:47.679085,2026-02-16 04:41:45.472103,0 days 00:01:57.793018,128,100000,125000,0.07535161581541547,0.9548733789366586,0.9914493965984478,256,4000,3.054120318443388e-05,2,5000,4,PRUNED
10,0.4366666666666667,2026-02-16 04:41:45.582991,2026-02-16 05:20:19.125498,0 days 00:38:33.542507,256,500000,100000,0.0513962313682106,0.989962194563511,0.9721397811992317,512,8000,1.0535179945522751e-05,3,10000,2,COMPLETE
11,0.38,2026-02-16 05:20:19.202944,2026-02-16 05:25:04.974396,0 days 00:04:45.771452,256,500000,100000,0.05306427230895834,0.9911322266968832,0.9711400187543683,512,8000,1.1217407996426706e-05,3,10000,2,PRUNED
12,0.36,2026-02-16 05:25:05.090075,2026-02-16 05:36:13.029909,0 days 00:11:07.939834,256,500000,100000,0.05200508709207766,0.9744157566331944,0.9719979750893211,512,8000,1.0218984604115602e-05,3,10000,2,PRUNED
13,0.34,2026-02-16 05:36:13.152420,2026-02-16 05:41:03.609206,0 days 00:04:50.456786,256,500000,150000,0.050797432249790914,0.9770918796151458,0.9602683772887304,512,8000,9.48481002745736e-05,3,10000,2,PRUNED
14,0.38,2026-02-16 05:41:03.720569,2026-02-16 05:48:06.698399,0 days 00:07:02.977830,256,500000,125000,0.06395199129747775,0.9753238070863286,0.9726651016360726,512,6000,0.008872754604813387,3,10000,2,PRUNED
15,0.36,2026-02-16 05:48:06.809872,2026-02-16 05:52:50.326964,0 days 00:04:43.517092,256,100000,75000,0.04493140800101656,0.9863114617361204,0.9602922564782115,512,8000,1.9139939010361398e-05,3,10000,2,PRUNED
16,0.3466666666666667,2026-02-16 05:52:50.434640,2026-02-16 07:05:16.087184,0 days 01:12:25.652544,256,500000,100000,0.06171862779486096,0.9639178450419174,0.9744367704379054,512,10000,0.00013164624094764508,3,10000,1,COMPLETE
17,0.34,2026-02-16 07:05:16.327612,2026-02-16 07:08:11.525893,0 days 00:02:55.198281,256,500000,100000,0.020240067844764245,0.9843040074598242,0.9684554199161876,512,8000,2.0924888906881657e-05,2,10000,2,PRUNED
18,0.36,2026-02-16 07:08:11.612729,2026-02-16 07:11:22.435897,0 days 00:03:10.823168,256,100000,50000,0.09787433128227935,0.9659839307688411,0.981366639706764,512,6000,6.597099275000504e-05,2,2000,2,PRUNED
19,0.38,2026-02-16 07:11:22.529492,2026-02-16 07:14:44.207871,0 days 00:03:21.678379,512,200000,125000,0.041986300495088114,0.9968535258006588,0.9751207975055367,256,6000,0.00020252328820292845,3,10000,2,PRUNED
20,0.38,2026-02-16 07:14:44.297869,2026-02-16 07:22:47.147025,0 days 00:08:02.849156,256,500000,75000,0.046818122541808775,0.9650832960840614,0.9643247366475626,512,4000,2.334921868009552e-05,3,10000,1,PRUNED
21,0.4,2026-02-16 07:22:47.266923,2026-02-16 07:31:50.537889,0 days 00:09:03.270966,512,500000,50000,0.03491344623336761,0.9204592974002548,0.9868211079929128,256,6000,5.328578127002376e-05,4,5000,2,PRUNED
22,0.32,2026-02-16 07:31:50.634914,2026-02-16 07:35:51.130722,0 days 00:04:00.495808,512,500000,50000,0.031856955152688236,0.9389269050051854,0.9844107452733236,256,6000,1.4459140715289911e-05,4,5000,2,PRUNED
23,0.34,2026-02-16 07:35:51.225833,2026-02-16 07:38:58.130268,0 days 00:03:06.904435,512,500000,50000,0.039742078961083394,0.9450772473677215,0.9936682650342599,256,8000,3.890831309357277e-05,3,2000,2,PRUNED
24,0.32,2026-02-16 07:38:58.224324,2026-02-16 07:43:02.071752,0 days 00:04:03.847428,512,500000,75000,0.05570831808614742,0.9178526794021474,0.9694399310429553,256,6000,7.061109118715316e-05,4,10000,2,PRUNED
25,0.4166666666666667,2026-02-16 07:43:02.165185,2026-02-16 08:09:30.240037,0 days 00:26:28.074852,512,500000,50000,0.027147904294244664,0.9860083181156019,0.975655301560026,256,4000,2.5511232184206865e-05,3,5000,2,COMPLETE
26,0.36,2026-02-16 08:09:30.318191,2026-02-16 08:13:59.797661,0 days 00:04:29.479470,256,500000,100000,0.02509747793416927,0.999564554646967,0.9761749077898874,512,4000,1.6193595515755244e-05,3,10000,2,PRUNED
27,0.38,2026-02-16 08:13:59.893260,2026-02-16 08:20:43.054331,0 days 00:06:43.161071,512,500000,75000,0.04568010103511787,0.9832093615299694,0.9633751025848504,512,2000,2.561293910346592e-05,3,10000,2,PRUNED
28,0.31666666666666665,2026-02-16 08:20:43.143350,2026-02-16 11:52:16.165826,0 days 03:31:33.022476,128,200000,50000,0.05895635181525772,0.9913517789603825,0.980781946403355,1024,4000,0.00021941453007712748,3,2000,1,COMPLETE
29,0.34,2026-02-16 11:52:16.537244,2026-02-16 11:55:47.631656,0 days 00:03:31.094412,256,100000,75000,0.02648499805717445,0.9710596508360577,0.9771651489800034,256,2000,3.4218961375659694e-05,2,5000,2,PRUNED
